Product Name,Price,Brand,Category,Description,Rating,Style Attributes,Size,Color,Purchase History,Average Age Of Clients,Fashion Magazines,Fashion Influencers,Season,Time Period Highest Purchase,Customer Reviews,Social Media Comments,Feedback
K763BLC,178.79,Alexander McQueen,Bottoms,Bad,4.020333598449152,Formal,XS,Ivory,Low,34,Glamour,Leandra Medine,Summer,Afternoon,88,2125,Neutral
7LG36RV,75.07,Ralph Lauren,Activewear,Worst,4.294955630407351,Bohemian,M,SlateGray,Medium,39,Cosmopolitan,Olivia Palermo,Fall,Morning,90,2870,Neutral
VS3VZDK,141.83,Ted Baker,Bottoms,Good,3.5381514221703134,Formal,XS,PaleTurquoise,High,59,Marie Claire,Camila Coelho,Winter,Morning,114,1069,Neutral
2DZS81J,39.81,Tommy Hilfiger,Swimwear,Bad,3.8760599060492993,Bohemian,L,AliceBlue,Low,44,Fashionista,Camila Coelho,Fall,Morning,176,1114,Neutral
3GU4FA5,20.99,Mulberry,Swimwear,Very Good,3.4775015981938924,Casual,L,Indigo,Low,59,Vogue,Camila Coelho,Spring,Evening,81,4715,Positive
2RHJ2XB,296.33,Jigsaw,Footwear,Not Good,4.099969735097561,Bohemian,L,Turquoise,High,28,Fashionista,Song of Style,Autumn,Evening,101,4247,Positive
Y80UAV2,494.72,Jigsaw,Dresses,Very Good,3.8426002474369323,Preppy,XL,Bisque,Low,56,Glamour,Olivia Palermo,Autumn,Afternoon,110,4530,Positive
O3H4UE7,35.9,Alexander McQueen,Swimwear,Very Bad,4.191557731130828,Vintage,XS,Salmon,Medium,58,Elle,Aimee Song,Fall,Morning,165,4174,Neutral
9CCMS7P,389.99,Jigsaw,Dresses,Worst,4.217621485412695,Edgy,S,IndianRed,Medium,29,W,Camila Coelho,Autumn,Morning,131,4999,Positive
PQF7FFP,80.98,Ted Baker,Accessories,Very Good,3.68532996858,Streetwear,M,MediumPurple,Low,39,Cosmopolitan,Camila Coelho,Spring,Evening,125,4714,Positive
QUOFURZ,305.01,Mulberry,Footwear,Worst,4.044500258850121,Bohemian,XL,Tan,High,24,Elle,Kendall Jenner,Spring,Morning,54,803,Neutral
PCABVO9,160.32,Tommy Hilfiger,Jewelry,Not Good,3.784646865171836,Preppy,M,MistyRose,Medium,48,Marie Claire,Chiara Ferragni,Spring,Afternoon,76,1420,Negative
R27HJVA,152.88,Burberry,Activewear,Very Bad,3.8706071325082165,Casual,L,PaleGoldenRod,High,31,InStyle,Julie Sariñana,Spring,Afternoon,131,574,Negative
1DCYNSH,26.26,Tommy Hilfiger,Activewear,Not Good,3.9898103627086328,Preppy,XS,HotPink,Medium,26,Vogue,Song of Style,Spring,Evening,93,2003,Neutral
5DA0RRO,118.21,Ralph Lauren,Swimwear,Not Good,4.022043797698365,Sporty,S,MidnightBlue,Low,23,InStyle,Negin Mirsalehi,Autumn,Morning,59,4494,Positive
5KPCCBF,74.52,Burberry,Tops,Good,4.281184510695564,Preppy,XS,DarkBlue,High,24,Marie Claire,Olivia Palermo,Winter,Evening,116,699,Neutral
G026G6N,167.92,Alexander McQueen,Jewelry,Very Good,3.652584062985574,Streetwear,S,DarkSlateGray,Low,43,InStyle,Leandra Medine,Autumn,Afternoon,70,1802,Negative
EXGJR0D,122.9,Ralph Lauren,Swimwear,Not Good,4.02682487076199,Edgy,XL,PaleGoldenRod,Low,25,Elle,Camila Coelho,Summer,Evening,94,2931,Negative
OABD9MX,286.64,Calvin Klein,Dresses,Bad,4.100295720095144,Preppy,L,DarkSeaGreen,Medium,41,InStyle,Gigi Hadid,Winter,Afternoon,186,1764,Positive
30W1KUV,314.12,Ted Baker,Dresses,Very Good,4.0771075923282645,Preppy,M,LightBlue,Medium,35,Fashionista,Leandra Medine,Autumn,Afternoon,196,4248,Positive
Y1A34M1,46.74,Jigsaw,Activewear,Worst,3.386875128350329,Formal,L,Lime,Low,60,W,Camila Coelho,Autumn,Afternoon,57,2511,Neutral
6GBIEC8,250.1,Burberry,Bottoms,Worst,4.0271328328068785,Edgy,L,Pink,Medium,37,W,Olivia Palermo,Spring,Evening,192,3133,Negative
734G0ZV,411.64,Mulberry,Footwear,Not Good,3.833802544500849,Casual,XS,Turquoise,Medium,32,Marie Claire,Leandra Medine,Autumn,Morning,52,4879,Neutral
AWMK6K8,129.11,Ted Baker,Jewelry,Not Good,4.233434797932768,Glamorous,XL,MediumPurple,Medium,28,Elle,Olivia Palermo,Summer,Morning,78,3077,Positive
9I6M9OU,470.65,Ted Baker,Outerwear,Worst,3.889930167562563,Streetwear,XS,Ivory,High,55,W,Gigi Hadid,Spring,Morning,58,2121,Neutral
ESB0VKH,98.0,Ralph Lauren,Accessories,Good,4.03256913359561,Vintage,L,IndianRed,Medium,37,Marie Claire,Camila Coelho,Spring,Afternoon,184,4735,Negative
BWNSVQP,139.7,Jigsaw,Activewear,Best,3.7994488943404545,Glamorous,XL,Crimson,Medium,58,InStyle,Chiara Ferragni,Autumn,Evening,108,2734,Neutral
EF6VPIF,75.12,Jigsaw,Lingerie,Good,4.074617755142653,Minimalist,S,Yellow,High,40,Elle,Camila Coelho,Winter,Evening,155,3010,Neutral
XRZPQOS,201.37,Tommy Hilfiger,Footwear,Best,3.5563341859842263,Edgy,M,Cyan,Medium,58,Cosmopolitan,Olivia Palermo,Fall,Afternoon,61,1914,Neutral
FQPN3QT,141.79,Mulberry,Bottoms,Best,3.5945934639957593,Vintage,L,MediumVioletRed,High,56,Grazia,Camila Coelho,Spring,Afternoon,127,827,Positive
35HO6TL,478.99,Jigsaw,Dresses,Bad,3.8832501976615568,Streetwear,M,LightCoral,Low,33,Grazia,Camila Coelho,Summer,Afternoon,84,460,Neutral
Q3YGZVA,286.89,Mulberry,Bottoms,Very Good,4.147049606189797,Glamorous,L,LightSalmon,High,32,Glamour,Kendall Jenner,Spring,Afternoon,125,2194,Positive
KKVK1V7,47.4,Ted Baker,Lingerie,Very Good,3.8315851002150114,Glamorous,XL,PaleGreen,High,56,W,Kendall Jenner,Spring,Afternoon,61,4811,Positive
5XHYGY0,283.79,Calvin Klein,Outerwear,Best,3.809099230000824,Formal,M,DarkRed,Medium,35,Elle,Song of Style,Winter,Afternoon,74,4041,Negative
N07KBRY,147.29,Alexander McQueen,Footwear,Very Bad,4.187421019854615,Streetwear,XS,Yellow,Low,58,InStyle,Aimee Song,Winter,Morning,160,2554,Neutral
EYNTDHW,148.9,Alexander McQueen,Activewear,Best,3.97499516696507,Sporty,M,DarkKhaki,Medium,40,Cosmopolitan,Julie Sariñana,Autumn,Morning,76,4277,Negative
XB4EZBM,296.53,Mulberry,Bottoms,Not Good,3.2454017581195616,Streetwear,S,OrangeRed,Low,41,Glamour,Kendall Jenner,Autumn,Morning,76,1580,Negative
97ZCRQG,36.22,Ralph Lauren,Lingerie,Worst,4.151715199232918,Minimalist,XS,RoyalBlue,Medium,49,Grazia,Gigi Hadid,Fall,Morning,150,2615,Negative
BN1I4TP,297.62,Tommy Hilfiger,Outerwear,Not Good,3.8833301470358585,Minimalist,L,DodgerBlue,High,28,Cosmopolitan,Kendall Jenner,Spring,Morning,106,812,Neutral
0D32GNT,30.16,Tommy Hilfiger,Jewelry,Worst,3.914649435742433,Bohemian,M,AliceBlue,Medium,52,Elle,Kendall Jenner,Winter,Morning,183,4684,Positive
ZUTIPA5,102.12,Alexander McQueen,Swimwear,Very Bad,4.400390432947152,Bohemian,L,Tan,Medium,55,Vogue,Aimee Song,Winter,Morning,112,3488,Negative
BWQOT4F,182.62,Ralph Lauren,Tops,Very Bad,3.9310241712019414,Minimalist,M,Pink,Low,58,Grazia,Julie Sariñana,Autumn,Evening,172,4520,Neutral
2JO35M6,110.4,Tommy Hilfiger,Activewear,Good,3.554038019997607,Sporty,M,MediumSpringGreen,Low,43,Vogue,Chiara Ferragni,Autumn,Afternoon,94,2406,Neutral
V2TRVRY,30.96,Mulberry,Jewelry,Not Good,4.294825026097698,Bohemian,XL,SpringGreen,Medium,46,Glamour,Julie Sariñana,Winter,Evening,162,4304,Negative
GEA7VN7,22.53,Ralph Lauren,Tops,Best,4.272009306494712,Formal,M,Wheat,High,28,W,Negin Mirsalehi,Spring,Morning,99,2323,Positive
PHAKGFH,428.73,Burberry,Dresses,Worst,4.63369620987128,Sporty,XL,DarkGreen,High,28,Glamour,Camila Coelho,Summer,Afternoon,104,3834,Negative
2GMD4SW,172.35,Mulberry,Swimwear,Best,3.7962447881055783,Formal,L,AntiqueWhite,Low,43,InStyle,Chiara Ferragni,Winter,Afternoon,114,2763,Negative
XF4IQMK,156.91,Ted Baker,Jewelry,Best,4.177516385993886,Bohemian,XL,SeaGreen,Medium,21,Marie Claire,Negin Mirsalehi,Summer,Evening,65,2972,Neutral
Z94VPN1,84.87,Mulberry,Activewear,Good,4.024568514312395,Sporty,S,DarkGray,High,34,InStyle,Camila Coelho,Spring,Morning,91,2490,Positive
R0N0TCA,183.33,Ralph Lauren,Bottoms,Best,3.601980990556783,Edgy,L,HotPink,Low,51,Marie Claire,Negin Mirsalehi,Autumn,Afternoon,123,2180,Neutral
PIH4WCT,139.46,Tommy Hilfiger,Tops,Very Bad,3.755516141795398,Minimalist,M,MediumOrchid,Medium,42,Cosmopolitan,Gigi Hadid,Spring,Evening,76,1732,Negative
NK51NV8,74.69,Jigsaw,Swimwear,Good,3.8246843404187016,Sporty,XL,Azure,Medium,33,Fashionista,Camila Coelho,Winter,Morning,151,2803,Positive
1HXQJWC,31.66,Calvin Klein,Accessories,Good,3.7863327033669525,Streetwear,L,PaleGreen,High,58,Marie Claire,Camila Coelho,Summer,Morning,193,2026,Positive
G5UOPGW,275.71,Ralph Lauren,Outerwear,Worst,4.044008857553519,Sporty,M,Moccasin,Low,40,Fashionista,Leandra Medine,Fall,Evening,80,1346,Positive
